Date,Month,Peak,OffPeak,Sumas,hh,hdd,hdd_dev,cdd,cdd_dev,tda,tda_var
1/1/2002,1,21.88,20,2.052096774,2.32,746,38.42857143,0,0,137.2806452,-14.23956989
2/1/2002,2,20.89,19.45,2.046428571,2.32,640,36.42857143,0,0,142.9928571,-5.638348531
3/1/2002,3,35.37,32.32,2.904516129,3.03,709,130.5714286,0,0,122.8612903,-33.63826325
4/1/2002,4,21.74,16.43,2.910166667,3.43,481,36.07142857,0,0,213.06,4.775952381
5/1/2002,5,21.38,15.22,2.755806452,3.5,363,89.85714286,0,-1.928571429,231.9064516,-31.23133641
6/1/2002,6,9.89,4.33,2.042333333,3.26,143,16.78571429,21,4.285714286,317.1666667,43.18547619
7/1/2002,7,10.88,8.1,1.317419355,2.99,55,24.07142857,37,-21.21428571,224.716129,36.5799788
8/1/2002,8,18.45,16.92,2.10516129,3.09,46,18.76923077,28,-17.38461538,147.2806452,11.31612903
9/1/2002,9,25.29,23.19,2.768166667,3.55,134,18.07692308,0,-7.461538462,102.3366667,9.484752791
10/1/2002,10,30.99,24.82,3.392096774,4.13,412,46.84615385,0,0,103.1870968,6.694930876
11/1/2002,11,32.11,28.97,3.621,4.04,533,-50.46153846,0,0,123.94,6.520985915
12/1/2002,12,40.09,32.94,4.195806452,4.74,675,-60,0,0,118.0612903,-17.49147465
1/1/2003,1,29.4,24.8,4.54516129,5.43,590,-117.5714286,0,0,116.3516129,-35.16860215
2/1/2003,2,53.09,46.1,5.576607143,7.71,648,44.42857143,0,0,129.0321429,-19.59906282
3/1/2003,3,47.81,42.73,5.740483871,5.93,556,-22.42857143,0,0,151.3290323,-5.170521313
4/1/2003,4,32.53,30.14,4.512666667,5.26,478,33.07142857,0,0,198.2066667,-10.07738095
5/1/2003,5,33.11,22.16,4.766596774,5.81,308,34.85714286,2,0.071428571,238.3741935,-24.76359447
6/1/2003,6,36.04,25.36,4.721,5.82,117,-9.214285714,33,16.28571429,241.3866667,-32.59452381
7/1/2003,7,47.12,39.98,4.303870968,5.03,16,-14.92857143,66,7.785714286,141.6935484,-46.44260185
8/1/2003,8,41.94,36.43,4.372903226,4.99,11,-16.23076923,21,-24.38461538,125.4709677,-10.49354839
9/1/2003,9,42.47,33.86,4.1875,4.62,108,-7.923076923,20,12.53846154,90.51,-2.341913876
10/1/2003,10,37.55,30.48,4.161290323,4.63,326,-39.15384615,0,0,102.7612903,6.269124424
11/1/2003,11,37.12,32.61,4.184666667,4.47,656,72.53846154,0,0,119.6066667,2.187652582
12/1/2003,12,40.59,36.84,5.254677419,6.13,713,-22,0,0,136.8709677,1.318202765
1/1/2004,1,46.75,40,5.509032258,6.14,757,49.42857143,0,0,136.8225806,-14.69763441
2/1/2004,2,41.67,39.5,4.774482759,5.37,589,-14.57142857,0,0,129.7137931,-18.91741257
3/1/2004,3,38.5,34.28,4.678870968,5.39,530,-48.42857143,0,0,138.6677419,-17.83181164
4/1/2004,4,42.17,36.87,4.927333333,5.71,344,-100.9285714,0,0,157.6366667,-50.64738095
5/1/2004,5,47.21,39.49,5.27516129,6.33,243,-30.14285714,0,-1.928571429,217.2580645,-45.8797235
6/1/2004,6,33.83,28.44,5.173666667,6.27,97,-29.21428571,15,-1.714285714,218.9233333,-55.05785714
7/1/2004,7,50.79,43.29,5.163870968,5.93,23,-7.928571429,88,29.78571429,142.1193548,-46.0167954
8/1/2004,8,49.82,44.12,4.995645161,5.41,19,-8.230769231,79,33.61538462,124.1677419,-11.79677419
9/1/2004,9,39.77,33.4,4.3535,5.15,177,61.07692308,0,-7.461538462,109.5366667,16.68475279
10/1/2004,10,45.62,39.19,5.144677419,6.35,355,-10.15384615,0,0,106.9387097,10.44654378
11/1/2004,11,47.76,44.47,5.616833333,6.17,596,12.53846154,0,0,119.3366667,1.917652582
12/1/2004,12,49.54,45.43,6.10483871,6.58,691,-44,0,0,149.4774194,13.92465438
1/1/2005,1,43.5,41,5.655967742,6.15,702,-5.571428571,0,0,142.9258065,-8.594408602
2/1/2005,2,47.05,43.41,5.502142857,6.14,622,18.42857143,0,0,140.475,-8.156205674
3/1/2005,3,51.49,46.72,6.190322581,6.96,487,-91.42857143,0,0,127.1451613,-29.35439228
4/1/2005,4,53.59,46.02,6.424833333,7.16,419,-25.92857143,0,0,139.55,-68.73404762
5/1/2005,5,36.14,25.45,5.597903226,6.47,219,-54.14285714,7,5.071428571,226.4967742,-36.64101382
6/1/2005,6,41.42,26.43,5.841,7.18,150,23.78571429,3,-13.71428571,188.79,-85.19119048
7/1/2005,7,57.18,38.18,6.192903226,7.63,34,3.071428571,28,-30.21428571,168.3580645,-19.77808572
8/1/2005,8,71.04,54.34,7.541290323,9.53,17,-10.23076923,39,-6.384615385,128.5387097,-7.425806452
9/1/2005,9,80.14,67.1,9.373666667,11.75,161,45.07692308,0,-7.461538462,88.57666667,-4.275247209
10/1/2005,10,86.12,79.55,10.55419355,13.42,336,-29.15384615,0,0,104.3483871,7.856221198
11/1/2005,11,69.76,62.7,8.2685,10.3,655,71.53846154,0,0,118.2766667,0.857652582
12/1/2005,12,108.5,92.34,11.45064516,13.05,687,-48,0,0,129.8290323,-5.723732719
1/1/2006,1,57.7,46.32,7.706774194,8.69,565,-142.5714286,0,0,178.3387097,26.81849462
2/1/2006,2,51.38,48.27,6.78,7.54,612,8.428571429,0,0,169.75,21.11879433
3/1/2006,3,44.28,43.63,5.891129032,6.89,596,17.57142857,0,0,155.5419355,-0.957618088
4/1/2006,4,24.85,13.67,5.771833333,7.16,433,-11.92857143,0,0,291.9833333,83.69928571
5/1/2006,5,31.92,13.55,5.111935484,6.25,255,-18.14285714,2,0.071428571,329.7193548,66.58156682
6/1/2006,6,36.22,13.01,5.328166667,6.21,91,-35.21428571,18,1.285714286,302.1166667,28.13547619
7/1/2006,7,69.51,44.34,5.302258065,6.17,33,2.071428571,90,31.78571429,171.9645161,-16.17163411
8/1/2006,8,63.67,51.23,6.127096774,7.14,31,3.769230769,20,-25.38461538,129.3419355,-6.622580645
9/1/2006,9,48.82,40.36,4.552,4.9,110,-5.923076923,4,-3.461538462,90.18333333,-2.668580542
10/1/2006,10,52.97,45.37,5.347419355,5.85,388,22.84615385,0,0,93.15806452,-3.334101382
11/1/2006,11,60.54,50.05,7.168833333,7.41,616,32.53846154,0,0,122.7366667,5.317652582
12/1/2006,12,59.86,53.28,7.047419355,6.73,752,17,0,0,133.5419355,-2.010829493
1/1/2007,1,52.55,49.75,6.504677419,6.55,833,125.4285714,0,0,162.0741935,10.55397849
2/1/2007,2,58.6,54.12,7.181071429,8,589,-14.57142857,0,0,135.8464286,-12.7847771
3/1/2007,3,39.79,29.63,6.531935484,7.11,545,-33.42857143,0,0,191.8290323,35.32947869
4/1/2007,4,48.84,32.12,6.7915,7.6,423,-21.92857143,0,0,220.0966667,11.81261905
